ticket_id,expected_category,predicted_category,category_confidence,category_correct,mean_field_confidence,num_fields_extracted,error
WIFI-001,wifi_internet,wifi_internet,0.95,True,,0,
WIFI-002,wifi_internet,wifi_internet,1.0,True,0.9666666666666667,3,
WIFI-003,wifi_internet,wifi_internet,0.99,True,0.95,4,
WIFI-004,ad_account_creation,wifi_internet,0.95,False,0.9,1,
WIFI-005,wifi_internet,wifi_internet,1.0,True,1.0,5,
WIFI-006,wifi_internet,wifi_internet,0.9,True,,0,
WIFI-007,wifi_internet,,,,,0,"Gemini returned an internally inconsistent field (e.g. a null value with nonzero confidence): 1 validation error for ExtractedField
  Value error, Confidence must be 0 when extracted value is None [type=value_error, input_value={'value': None, 'confidence': 0.9}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/value_error"
WIFI-008,wifi_internet,wifi_internet,1.0,True,0.9666666666666667,3,
WIFI-009,wifi_internet,wifi_internet,0.95,True,0.8999999999999999,4,
WIFI-010,wifi_internet,wifi_internet,1.0,True,0.9666666666666667,3,
WIFI-011,wifi_internet,wifi_internet,0.99,True,0.946,5,
WIFI-012,vit_email,wifi_internet,0.5,False,0.9,2,
WIFI-013,wifi_internet,wifi_internet,1.0,True,1.0,1,
WIFI-014,wifi_internet,wifi_internet,1.0,True,0.975,4,
WIFI-015,wifi_internet,wifi_internet,1.0,True,0.9800000000000001,5,
WIFI-016,wifi_internet,wifi_internet,1.0,True,0.9875,4,
WIFI-017,wifi_internet,wifi_internet,0.95,True,0.9125,4,
WIFI-018,wifi_internet,wifi_internet,0.99,True,0.9125,4,
WIFI-019,wifi_internet,wifi_internet,0.9,True,1.0,1,
WIFI-020,ms_teams,ms_teams,0.95,True,0.9,1,
WIFI-021,wifi_internet,wifi_internet,1.0,True,1.0,5,
WIFI-022,wifi_internet,wifi_internet,0.95,True,0.95,5,
WIFI-023,wifi_internet,wifi_internet,0.99,True,0.95,5,
WIFI-024,wifi_internet,wifi_internet,0.95,True,0.925,2,
WIFI-025,ad_account_creation,wifi_internet,0.99,False,0.9333333333333332,3,
WIFI-026,wifi_internet,wifi_internet,0.95,True,0.9,2,
WIFI-027,wifi_internet,wifi_internet,0.95,True,0.9333333333333332,3,
WIFI-028,vit_email,wifi_internet,0.6,False,0.9,1,
WIFI-029,wifi_internet,,0.0,False,,0,
